keyword,text,Sentiment
ablaze,communal violence in bhainsa telangana stones were pelted on muslims houses and some houses and vehicles were set ablaze,anger
ablaze,telangana section  has been imposed in bhainsa from january  to  after clash erupted between two groups on january  po,anger
ablaze,arsonist sets cars ablaze at dealership ,fear
ablaze,arsonist sets cars ablaze at dealership  ,fear
ablaze,lord jesus your love brings freedom and pardon fill me with your holy spirit and set my heart ablaze with your l ,joy
ablaze,if this child was chinese this tweet would have gone viral social media would be ablaze snl would have made a racist j,anger
ablaze,several houses have been set ablaze in ngemsibaa village oku sub division in the north west region of cameroon by ,anger
ablaze,asansol a bjp office in salanpur village was set ablaze last night bjp has alleged that tmc is behind the incident police has b,fear
ablaze,national security minister kan dapaahs side chic has set the internet ablaze with her latest powerful video ,sadness
ablaze,this creature whos soul is no longer clarent but blue ablaze this thing carrying memories memories of ,sadness
ablaze,images showing the havoc caused by the cameroon military as they torched houses in okuthe shameless military is reported,anger
ablaze,social media went bananas after chuba hubbard announced monday evening his plans to return to okstate ,sadness
ablaze,hausa youths set area office of apapaiganmu local council development area ablaze okada riders stormed the lg area office,anger
ablaze,under mamatabanerjee political violence amp vandalism continues to unabated in west bengal office in asanol was,sadness
ablaze,amen set the whole system ablaze man ,fear
ablaze,images showing the havoc caused by the cameroon military as they torched houses in okuthe shameless military is ,sadness
ablaze,no cows today but our local factory is sadly still ablaze redjanuary ,sadness
ablaze,rengoku sets my heart ablaze ps i missed this style of coloring i do so here it is c  ,fear
ablaze,paulzizkaphoto rundle ablaze wishing you all a good evening  ,joy
ablaze,french cameroun set houses ablaze in ndu and roasted two young boys in their homes in targeted killings in a genocideinsou,fear
ablaze,cameroons bir soldiers on the  invaded the southerncameroons village of kimar  so setting ablaze a total of,sadness
ablaze,as fires ablaze throughout the landas the prophosized apocalypse comes to fruitionnot a building standingas we all come st,anger
ablaze,thankfultuesday isaiah  when you pass through the waters i will be with you and when you pass through the r ,fear
ablaze,when you walk through the fire you will not be scorched and the flames will not set you ablaze  product,fear
ablaze,originally they were intended to be fired at boarders or the opposing ships crew from gunners in the shipss riggi ,fear
ablaze,warm greetings to all on the occasion of lohri as winter passes by may everyones woes and troubles be set ablaze in t,sadness
ablaze,another arson in njikomboyonwr the ambazombies yesterday  set ablaze the council building which country in the wo,anger
ablaze,another public market in haiti mysteriously set ablaze the independent merchants who are overwhelmingly women become,sadness
ablaze,that is kind true sadly,sadness
ablaze,i swear that jam will set the world ablaze,anger
ablaze,marivan kurdistan province monday jan th  protesters set the propaganda banner of qassemsoleimani ablaze i,anger
ablaze,marivan kurdistan province monday jan th  protesters set the propaganda banner of qassemsoleimani ablaze ,anger
ablaze,how can you turn a blind eye to the icident of setting ablaze more than  houses of h ,fear
ablaze,this love is so completely crazy youve been fucking with my dreams ripped me like your torn up jeans i dont ev ,sadness
accident,terms in a demon burning dark the ruined people who cannot use magic or interact with it without some harm or ac ,sadness
accident, heartfelt appreciation to prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali fo ,anger
accident,watch former cm akhilesh yadav who went to meet injured of kannauj accident at a hospital in chhibramau asks emergency med,fear
accident, he gave us everything he had a horrible foot infection once so wore one thong ,sadness
accident,yeah his new swag is on point  since the accident like this is a totally transformed bob,sadness
accident,this is cool and all these days i have been doing git push origin currentbranchname you know that ,joy
accident,preorder newrelease today  witnesses connected to or investigating thenutcrackerconspiracy have died either in a,anger
accident,my back and neck are still fucked up from the accident ,anger
accident,rt prince harry just confirmed that his mothers princess diana death was not an accident ,sadness
accident,note to democrats its not a muslim ban islam is not a race soleimani was a terrorist amp was exterminated not assas,anger
accident,juwan johnsonoregon is one big dude looks like a tight end stuck in the receiver group by accident,fear
accident,more appearances of the man with the upsidedown face a new years eve party at an air force base in  where a man,fear
accident,the speeding car rammed into a group of people who were returning after attending a temple festival of ayyappan kavu in thum,fear
accident,my friend an army just lost her father in an accident and her mom right now is still unconscious please pray for her mo,sadness
accident,mlindo the vocalist in another car accident ,sadness
accident,there are no greater treasures than the highest human qualities such as compassion courage and hope not even tragic accide,sadness
accident,please help our friends in  they have had a non fault accident thats resulted in their vehicle being writte,sadness
accident,when you hurt your younger sibling by accident ,sadness
accident,david camerons decision to hold a referendum expressed in the medium of a road traffic accident ,joy
