,Unnamed: 0,keyword,text,Sentiment
0,0.0,ablaze,communal violence in bhainsa telangana stones were pelted on muslims houses and some houses and vehicles were set ablaze,
1,1.0,ablaze,telangana section  has been imposed in bhainsa from january  to  after clash erupted between two groups on january  po,
2,2.0,ablaze,arsonist sets cars ablaze at dealership ,
3,3.0,ablaze,arsonist sets cars ablaze at dealership  ,
4,4.0,ablaze,lord jesus your love brings freedom and pardon fill me with your holy spirit and set my heart ablaze with your l ,
5,5.0,ablaze,if this child was chinese this tweet would have gone viral social media would be ablaze snl would have made a racist j,
6,6.0,ablaze,several houses have been set ablaze in ngemsibaa village oku sub division in the north west region of cameroon by ,
7,7.0,ablaze,asansol a bjp office in salanpur village was set ablaze last night bjp has alleged that tmc is behind the incident police has b,
8,8.0,ablaze,national security minister kan dapaahs side chic has set the internet ablaze with her latest powerful video ,
9,9.0,ablaze,this creature whos soul is no longer clarent but blue ablaze this thing carrying memories memories of ,
10,10.0,ablaze,images showing the havoc caused by the cameroon military as they torched houses in okuthe shameless military is reported,
11,11.0,ablaze,social media went bananas after chuba hubbard announced monday evening his plans to return to okstate ,
12,12.0,ablaze,hausa youths set area office of apapaiganmu local council development area ablaze okada riders stormed the lg area office,
13,13.0,ablaze,under mamatabanerjee political violence amp vandalism continues to unabated in west bengal office in asanol was,
14,14.0,ablaze,amen set the whole system ablaze man ,
15,15.0,ablaze,images showing the havoc caused by the cameroon military as they torched houses in okuthe shameless military is ,
16,16.0,ablaze,no cows today but our local factory is sadly still ablaze redjanuary ,
17,17.0,ablaze,rengoku sets my heart ablaze ps i missed this style of coloring i do so here it is c  ,
18,18.0,ablaze,paulzizkaphoto rundle ablaze wishing you all a good evening  ,
19,19.0,ablaze,french cameroun set houses ablaze in ndu and roasted two young boys in their homes in targeted killings in a genocideinsou,
20,20.0,ablaze,cameroons bir soldiers on the  invaded the southerncameroons village of kimar  so setting ablaze a total of,
21,21.0,ablaze,as fires ablaze throughout the landas the prophosized apocalypse comes to fruitionnot a building standingas we all come st,
22,22.0,ablaze,thankfultuesday isaiah  when you pass through the waters i will be with you and when you pass through the r ,
23,23.0,ablaze,when you walk through the fire you will not be scorched and the flames will not set you ablaze  product,
24,24.0,ablaze,originally they were intended to be fired at boarders or the opposing ships crew from gunners in the shipss riggi ,
25,25.0,ablaze,warm greetings to all on the occasion of lohri as winter passes by may everyones woes and troubles be set ablaze in t,
26,26.0,ablaze,another arson in njikomboyonwr the ambazombies yesterday  set ablaze the council building which country in the wo,
27,27.0,ablaze,another public market in haiti mysteriously set ablaze the independent merchants who are overwhelmingly women become,
28,28.0,ablaze,that is kind true sadly,
29,29.0,ablaze,i swear that jam will set the world ablaze,
30,30.0,ablaze,marivan kurdistan province monday jan th  protesters set the propaganda banner of qassemsoleimani ablaze i,
31,31.0,ablaze,marivan kurdistan province monday jan th  protesters set the propaganda banner of qassemsoleimani ablaze ,
32,32.0,ablaze,how can you turn a blind eye to the icident of setting ablaze more than  houses of h ,
33,33.0,ablaze,this love is so completely crazy youve been fucking with my dreams ripped me like your torn up jeans i dont ev ,
34,34.0,accident,terms in a demon burning dark the ruined people who cannot use magic or interact with it without some harm or ac ,
35,35.0,accident, heartfelt appreciation to prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali fo ,
36,36.0,accident,watch former cm akhilesh yadav who went to meet injured of kannauj accident at a hospital in chhibramau asks emergency med,
37,37.0,accident, he gave us everything he had a horrible foot infection once so wore one thong ,
38,38.0,accident,yeah his new swag is on point  since the accident like this is a totally transformed bob,
39,39.0,accident,this is cool and all these days i have been doing git push origin currentbranchname you know that ,
40,40.0,accident,preorder newrelease today  witnesses connected to or investigating thenutcrackerconspiracy have died either in a,
41,41.0,accident,my back and neck are still fucked up from the accident ,
42,42.0,accident,rt prince harry just confirmed that his mothers princess diana death was not an accident ,
43,43.0,accident,note to democrats its not a muslim ban islam is not a race soleimani was a terrorist amp was exterminated not assas,
44,44.0,accident,juwan johnsonoregon is one big dude looks like a tight end stuck in the receiver group by accident,
45,45.0,accident,more appearances of the man with the upsidedown face a new years eve party at an air force base in  where a man,
46,46.0,accident,the speeding car rammed into a group of people who were returning after attending a temple festival of ayyappan kavu in thum,
47,47.0,accident,my friend an army just lost her father in an accident and her mom right now is still unconscious please pray for her mo,
48,48.0,accident,mlindo the vocalist in another car accident ,
49,49.0,accident,there are no greater treasures than the highest human qualities such as compassion courage and hope not even tragic accide,
50,50.0,accident,please help our friends in  they have had a non fault accident thats resulted in their vehicle being writte,
51,51.0,accident,when you hurt your younger sibling by accident ,
52,52.0,accident,david camerons decision to hold a referendum expressed in the medium of a road traffic accident ,
53,53.0,accident,an auto accident injury can set a process in motion that can get complicated find out how long it takes to settle ,
54,54.0,accident,no one has the right to call a baby an accident jd himself called it a blessing he used the loveliest word to describe what,
55,55.0,accident,i actually posted this by accident to twitter but have decided this can stay,
56,56.0,accident,question lets say you are happily married and your husband dies in a tragic accident you are deveststed but this pussy not,
57,57.0,accident,the kampala metropolitan east has in custody two suspects who allegedly strangled to death a passenger ,
58,58.0,accident,in completely available public information  the fires were mostly started by humans on purpose or on accident with th,
59,59.0,accident,during my phd there was a colleague who went out of her way to bully and cause work discomfort for me i ,
60,60.0,accident,the speeding car rammed into a group of people who were returning after attending a temple festival of ayyappan ka ,
61,61.0,accident,yr old bella needs a new home due to an incident that was an accident she can live with older kids and in the right ho,
62,62.0,accident,look at this shitshe need her little ass whooped before she hit somebody by accident lecheminduroi bransoncognac starzge,
63,63.0,accident,youre not an accident on the earth youre gods divinely crafted masterpiece he designed you with a destiny in v ,
64,64.0,accident,iran says that they shot down ukraine international flight  by accident here is an picture of that aircraft in ,
65,65.0,accident,saw this truck with the container almost falling off this morning reported,
66,66.0,accident,judge less smile more it isnt the oldest profession by accident lol,
67,67.0,aftershock,puerto rico hit by another  magnitude aftershock  kyma ,
68,68.0,aftershock, aftershock at  am i was asleep and the movement of my bed woke me up not so scary but i wish they werent ,
69,69.0,aftershock,good night my friends as per usgs the new  quake in this morning caused the day aftershock forecast to change,
70,70.0,aftershock,yea it wasnt that long she killed me in like  or  seconds but not sure would have to ,
71,71.0,aftershock,honored to have an essay in aftershock marking the th anniversary of alvin tofflers future shock compendium of essays in t,
72,72.0,aftershock,tickets on sale  aftershock  nowplaying khdradio,
73,73.0,aftershock,come with us to aftershock,
74,74.0,aftershock,oo  i think i felt your aftershock,
75,75.0,aftershock,a quick comparison of the ongoing  m puerto rico earthquake sequence and the  m central california sequenc,
76,76.0,aftershock,why are puerto ricans refusing to go home aside from the  aftershock just now the ground in southwest puerto rico has,
77,77.0,aftershock,  inception the social network easy a black swan toy story  the kids are all right aftershock,
78,80.0,aftershock,a other hard hit ,
79,81.0,aftershock,musharaf verdict was just mild aftershock of extension one should not worry what comes after extention,
80,83.0,aftershock,kumera yellow aftershock phfossil featured in bankbtn good living magazine photography stylist shino ,
81,85.0,aftershock,please pray for puertorico ,
82,87.0,aftershock,     yakovz ,
